packet_id,timestamp,length,direction
475,41.45099496841431,60,-1
476,41.454933166503906,1514,1
477,41.45511269569397,88,1
478,41.45894980430603,60,-1
479,41.46256113052368,66,-1
480,41.46308159828186,60,-1
481,41.46871519088745,54,1
482,41.47222018241882,312,1
483,41.48457598686218,60,-1
484,41.493048906326294,60,-1
485,41.5064172744751,60,-1
486,41.51221299171448,60,-1
487,41.51221489906311,191,-1
488,41.51856851577759,54,1
489,41.520171880722046,105,1
490,41.520601987838745,1514,1
491,41.522634983062744,1514,1
492,41.52268123626709,1514,1
493,41.522745847702026,1312,1
494,41.53395700454712,172,1
495,41.548128843307495,172,1
496,41.56487226486206,60,-1
497,41.56487536430359,60,-1
498,41.56589961051941,96,-1
499,41.56842064857483,172,1
500,41.57728552818298,146,-1
501,41.57728862762451,92,-1
502,41.58066391944885,54,1
503,41.59631586074829,172,1
504,41.60624957084656,60,-1
505,41.6062536239624,60,-1
506,41.609522104263306,768,1
507,41.61062979698181,172,1
508,41.64659810066223,60,-1
509,41.64731979370117,172,1
510,41.647525787353516,172,1
511,41.6517972946167,60,-1
512,41.65315771102905,419,-1
513,41.6587598323822,85,1
514,41.65906882286072,54,1
515,41.68010401725769,172,1
516,41.68515968322754,60,-1
517,41.69399094581604,172,1
518,41.69649863243103,60,-1
519,41.69794273376465,54,1
520,41.70088052749634,60,-1
521,41.70858573913574,172,1
522,41.7223117351532,172,1
523,41.73186492919922,60,-1
524,41.75726127624512,172,1
525,41.75936818122864,60,-1
526,41.771353244781494,172,1
527,41.79387831687927,172,1
528,41.80613946914673,172,1
529,41.80937886238098,60,-1
530,41.83425688743591,172,1
531,41.84408974647522,60,-1
532,41.85561776161194,172,1
533,41.87076234817505,172,1
534,41.88587474822998,172,1
535,41.893319606781006,60,-1
536,41.91852355003357,172,1
537,41.92354154586792,60,-1
538,41.924657106399536,286,1
539,41.92521834373474,190,1
540,41.93139147758484,1514,1
541,41.93318438529968,1514,1
542,41.93325757980347,1293,1
543,41.93373370170593,172,1
544,41.94653630256653,172,1
545,41.96708369255066,172,1
546,41.97021484375,60,-1
547,41.97686195373535,60,-1
548,41.994696855545044,172,1
549,42.004698753356934,60,-1
550,42.016459941864014,172,1
551,42.03004288673401,172,1
552,42.04374670982361,172,1
553,42.054142236709595,60,-1
554,42.075758934020996,146,-1
555,42.07621359825134,92,-1
556,42.07923626899719,172,1
557,42.092853307724,172,1
558,42.10770082473755,172,1
559,42.11736249923706,60,-1
560,42.12845015525818,172,1
561,42.14533543586731,60,-1
562,42.15585660934448,172,1
563,42.1700119972229,172,1
564,42.19101428985596,172,1
565,42.19332218170166,60,-1
566,42.20472049713135,172,1
567,42.228697061538696,60,-1
568,42.23993945121765,172,1
569,42.25412034988403,172,1
570,42.26825189590454,172,1
571,42.27764892578125,60,-1
572,42.283021688461304,172,1
573,42.30640411376953,60,-1
574,42.3503897190094,172,1
575,42.35057806968689,172,1
576,42.35262203216553,172,1
577,42.36703133583069,172,1
578,42.36814308166504,60,-1
579,42.3878071308136,60,-1
580,42.392571210861206,60,-1
581,42.39407277107239,172,1
582,42.40437698364258,60,-1
583,42.41544961929321,172,1
584,42.42988634109497,172,1
585,42.43163871765137,60,-1
586,42.44385385513306,172,1
587,42.453142166137695,60,-1
588,42.46810054779053,60,-1
589,42.48109006881714,172,1
590,42.481242179870605,60,-1
591,42.498120069503784,172,1
592,42.512081146240234,172,1
593,42.51890325546265,60,-1
594,42.52828502655029,172,1
595,42.537060499191284,60,-1
596,42.54981708526611,60,-1
597,42.55501699447632,172,1
598,42.56622529029846,60,-1
599,42.57601547241211,172,1
600,42.59097146987915,172,1
601,42.59238600730896,60,-1
602,42.60421061515808,172,1
603,42.61326289176941,60,-1
604,42.628254652023315,60,-1
605,42.63929796218872,172,1
606,42.65295195579529,172,1
607,42.65463948249817,60,-1
608,42.67001533508301,172,1
609,42.67734694480896,60,-1
610,42.68930530548096,172,1
611,42.69295597076416,60,-1
612,42.70772409439087,60,-1
613,42.716261863708496,172,1
614,42.7274010181427,60,-1
615,42.73067617416382,172,1
616,42.750957012176514,172,1
617,42.754284381866455,60,-1
618,42.76485276222229,172,1
619,42.77595615386963,60,-1
620,42.788522720336914,60,-1
621,42.80063056945801,172,1
622,42.80211925506592,60,-1
623,42.81416583061218,172,1
624,42.828311920166016,172,1
625,42.837889432907104,60,-1
626,42.843194007873535,172,1
627,42.851728200912476,60,-1
628,42.86598467826843,60,-1
629,42.87743353843689,172,1
630,42.880757331848145,60,-1
631,42.89130616188049,172,1
632,42.91464066505432,60,-1
633,42.91622614860535,172,1
634,42.9266722202301,172,1
635,42.93012857437134,60,-1
636,42.95397615432739,172,1
637,42.95409440994263,60,-1
638,42.964561223983765,60,-1
639,42.9752357006073,172,1
640,42.9889235496521,172,1
641,42.99227857589722,60,-1
642,43.00282096862793,172,1
643,43.01323699951172,60,-1
644,43.026854038238525,60,-1
645,43.04198670387268,60,-1
646,43.052438735961914,172,1
647,43.0570182800293,172,1
648,43.066128730773926,172,1
649,43.08767509460449,172,1
650,43.09008550643921,60,-1
651,43.09517192840576,60,-1
652,43.103448152542114,60,-1
653,43.1146354675293,172,1
654,43.12531924247742,60,-1
655,43.136130571365356,172,1
656,43.15051293373108,172,1
657,43.15335416793823,60,-1
658,43.16400861740112,172,1
659,43.17427396774292,60,-1
660,43.18849515914917,60,-1
661,43.19886827468872,172,1
662,43.20132398605347,60,-1
663,43.213316202163696,172,1
664,43.2272469997406,172,1
665,43.23663330078125,60,-1
666,43.24782156944275,172,1
667,43.25275707244873,434,-1
668,43.26439023017883,60,-1
669,43.265400409698486,136,1
670,43.26587533950806,92,1
671,43.2772650718689,718,-1
672,43.2823052406311,74,1
673,43.30308985710144,60,-1
674,43.318329095840454,66,-1
675,43.32354497909546,54,1
676,43.32566022872925,312,1
677,43.325862884521484,54,1
678,43.3483521938324,60,-1
679,43.35921096801758,60,-1
680,43.364346742630005,60,-1
681,43.36514115333557,191,-1
682,43.36668944358826,54,1
683,43.36719059944153,105,1
684,43.452064990997314,60,-1
685,43.45663070678711,811,1
686,43.49182987213135,60,-1
687,43.49858093261719,419,-1
688,43.50060558319092,85,1
689,43.50082087516785,54,1
690,43.53627109527588,60,-1
691,43.53760600090027,54,1
692,43.54096078872681,60,-1
693,43.796345710754395,460,-1
694,43.801844120025635,54,1
695,43.812251329422,79,1
696,43.83626198768616,287,1
697,43.836968660354614,190,1
698,43.837358713150024,95,-1
699,43.83774399757385,1514,1
700,43.8386754989624,1514,1
701,43.83872652053833,1169,1
702,43.83886361122131,136,1
